date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
8/6/2018,11250,1654,2463,1157,1238,424,93,72,19,10,203,67,74,8,0.008108393,1.1445,5006,4374,410.570000,414.540000,403.320000,406.660000,1384880000,41526865934
8/7/2018,15073,1729,3145,1365,1825,646,94,76,33,19,209,54,87,10,0.016612838,1.1665,5976,5123,406.800000,411.410000,376.080000,380.220000,1828350000,41154302930
8/8/2018,20095,1892,4057,1780,2332,850,108,75,34,18,187,54,125,15,0.009356891,1.1964,7650,6394,379.890000,380.670000,353.730000,356.610000,2016080000,38439767874
8/9/2018,14658,1894,3240,1557,1553,596,125,83,19,12,225,56,65,6,0.011402532,1.1859,6227,5251,356.970000,370.950000,353.610000,365.590000,1616610000,36127750164
8/10/2018,14071,1689,2940,1302,1608,563,117,91,31,16,170,43,60,23,0.009455046,1.1581,5786,4996,365.780000,367.050000,329.590000,334.180000,1699400000,37026418724
8/11/2018,17032,1275,3361,1489,1958,692,93,69,19,16,134,37,74,13,0.012589992,1.0867,6068,5584,334.260000,334.260000,308.490000,322.110000,1790370000,33843432717
8/12/2018,11776,1062,2488,1083,1399,510,83,61,14,6,106,29,60,16,0.011462530,1.2435,5372,4320,320.820000,328.590000,318.600000,319.570000,1625420000,32489149687
8/13/2018,20057,1789,4264,1969,2398,859,142,94,36,17,177,40,114,19,0.010557211,1.1613,7460,6424,320.210000,323.550000,284.930000,286.500000,1751190000,32433585929
8/14/2018,24775,2174,4899,2163,2826,1017,162,138,41,25,227,63,141,24,0.011869458,1.2950,9526,7356,286.370000,286.370000,254.650000,278.930000,2137850000,29011325541
8/15/2018,16918,1678,3639,1638,1801,649,138,98,25,17,163,35,98,13,0.007450942,1.1628,6763,5816,280.390000,303.590000,280.120000,282.360000,1878150000,28411365408
8/16/2018,14198,1735,3203,1476,1557,574,98,77,24,11,170,37,92,22,0.011161360,1.1981,6065,5062,282.740000,298.480000,280.930000,288.050000,1552970000,28655663078
8/17/2018,13961,1721,2970,1369,1457,524,114,86,14,4,173,46,67,16,0.010684631,1.1783,5670,4812,287.680000,316.170000,287.350000,315.730000,1995460000,29162476049
